Student ID,Course ID,Score
14610,1107,80
269,1057,94
5584,377,91
18794,509,66
12685,166,37
11074,172,61
4973,1565,80
16005,1744,96
5649,1033,18
3217,950,42
3535,1130,96
2609,110,26
2753,203,69
13391,227,29
4183,297,68
19336,913,75
3132,393,35
11801,1371,52
949,1846,95
2493,323,85
4313,1180,39
10977,1170,93
10076,357,91
14253,33,20
11232,357,51
7616,340,13
18319,5,100
2772,1668,14
3068,1175,58
19109,1322,29
17930,216,91
2230,680,94
15513,199,20
19609,1499,39
769,728,42
13354,624,10
13781,1377,66
11976,1110,74
9362,649,29
12360,264,33
922,1051,92
9785,1038,77
7085,287,80
12923,1445,51
582,1012,79
18630,1526,93
6733,1922,80
11344,458,74
15955,107,90
9129,1894,96
3210,823,60
2676,1106,92
13242,1364,54
3974,407,60
17723,311,90
5580,1195,48
1698,1963,1
19615,198,60
1245,1743,89
14354,463,87
4229,1020,36
2892,493,91
17530,445,61
19346,334,99
10658,992,68
12340,1873,96
3586,53,25
15152,440,34
29,1643,69
18047,1335,45
14357,1614,9
1089,1601,81
11434,926,46
12385,913,12
8238,585,82
11042,1578,21
14410,917,78
14162,1448,19
14464,674,38
16643,1538,2
16639,1299,4
7578,897,75
11488,1327,28
15492,1157,68
3537,866,14
7770,191,65
3436,1166,14
16264,1650,30
9897,1303,37
16650,646,97
4108,369,57
344,1145,21
11252,909,66
18002,8,79
11398,267,56
9678,1226,97
15882,56,38
3082,468,75
19639,1516,52
4885,1222,9
18117,1942,36
7221,1776,90
5369,1082,37
1387,368,41
15265,32,41
10177,104,16
1350,139,70
14208,582,89
14931,154,84
7285,946,46
17386,1088,87
14447,852,24
15796,1249,70
16630,1435,51
19782,1831,34
8069,1726,46
18316,295,1
18259,1967,80
10779,982,80
10009,1693,73
566,87,27
15279,1541,9
10789,1905,16
7026,1261,4
8984,1748,9
4010,378,57
431,183,35
18575,311,39
3916,15,35
8741,1209,60
7940,1913,30
9002,481,78
19988,1810,20
3937,532,27
16010,1533,20
3370,583,99
13095,814,33
2850,1922,35
19813,429,2
18206,1165,16
3986,508,87
15559,1559,70
1191,289,64
4292,33,97
6943,577,77
5490,497,16
12068,1142,68
15138,1454,1
6827,1802,11
2497,1269,85
13041,937,9
15585,358,42
16806,301,86
1028,733,35
4427,611,75
8368,1928,9
12229,430,98
14912,1056,86
13011,999,20
12862,542,9
6485,1797,59
19637,1827,41
4116,1169,76
14471,175,25
18423,1686,46
8214,306,59
19603,1715,5
17636,1017,80
6881,1996,14
16049,880,94
4451,1277,80
9952,832,31
11365,1345,44
15524,733,21
9210,578,75
1269,299,5
15289,878,70
17744,1652,29
3604,755,56
10063,846,11
333,1872,56
17191,1217,33
8128,831,73
8743,196,27
17166,1879,94
15215,1508,39
17220,441,51
16062,330,17
17766,169,48
19057,633,66
14244,1691,94
8424,1086,80
7815,603,44
4876,505,73
19749,530,42
16363,1916,37
1661,1164,29
16975,1852,2
18710,764,96
11345,158,80
9371,585,81
9019,167,4
7888,204,92
4774,247,29
3181,1462,1
11143,1687,100
19977,133,44
18600,995,59
1519,491,66
14742,1728,54
920,1287,75
4785,1553,91
7757,217,36
4120,1461,13
16739,732,87
8658,1488,51
14963,972,67
10315,578,55
17098,1352,8
5948,1958,73
6093,426,92
12368,1853,57
2284,1090,82
6203,343,31
11136,1041,81
13265,723,74
19092,422,29
362,1343,83
11466,1176,44
10084,297,95
16328,6,9
11728,921,17
4310,190,20
12617,414,8
12048,1730,18
3745,1223,45
13576,187,36
1247,1129,67
11319,1492,25
5383,662,41
3599,777,68
11742,1429,2
17827,374,69
17766,133,36
11103,1422,16
16063,1333,84
10885,722,6
12586,549,86
